,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
204,0.1427229881286621,0.025992316887126277,0.0010533809661865234,5.213324131130352e-05,0.001,"(50, 50)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 40}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5,9.288792252416251e-17
205,0.1731553077697754,0.03059647823743094,0.0015211105346679688,0.0003846036507696021,0.001,"(50, 50)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 45}",0.5254497586660816,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.5051543815019912,0.010227908712465254,154,0.55,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.51,0.020000000000000007
206,0.24828271865844725,0.09554292456499396,0.0011950492858886718,5.439050522726674e-05,0.001,"(50, 50)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 50}",0.5021939447125933,0.8957960644007155,0.8973613595706619,0.8214285714285715,0.49999999999999994,0.7231537124134505,0.18367123878351535,8,0.5088235294117648,0.9545876723895299,0.9214888826343934,0.8471557682083999,0.4981392876129718,0.7460390280514119,0.20110955112710804
207,0.23383874893188478,0.061509951262878025,0.0016358852386474609,0.0003880538644931825,0.001,"(50, 50)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 55}",0.5,0.49999999999999983,0.49999999999999994,0.5476190476190477,0.84981684981685,0.5788164016012117,0.1360348977318612,84,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.6467304625199363,0.9096225412014886,0.611270600744285,0.15963378210247936
208,0.25558042526245117,0.07388924715579018,0.0013119697570800782,0.00030227317885135423,0.001,"(50, 50)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 60}",0.5116279069767442,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.5023550191345304,0.0046730962220746745,165,0.5058823529411764,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5011764705882353,0.0023529411764705685
209,0.04054679870605469,0.0009601742442441846,0.0007666110992431641,2.7532380965204834e-05,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.5000000000000001,0.5029411764705882,0.5034900084435687,0.5000000000000001,0.5034556087187666,0.5019773587265848,0.0016261716955189044
210,0.040488815307617186,0.0007427394510405115,0.0007604122161865235,2.0303746353791618e-05,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 3}",0.4833260201842913,0.5020125223613594,0.49999999999999994,0.511904761904762,0.49999999999999994,0.49938720502335177,0.009211399944343905,364,0.4829185520361991,0.5005488319729806,0.49999999999999994,0.5175438596491229,0.5029239766081871,0.500787044053298,0.011002877259687962
211,0.0570589542388916,0.008616773989706466,0.0011073589324951173,0.0002244201347564565,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 4}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5,9.288792252416251e-17
212,0.05611600875854492,0.006137754446708713,0.0007576465606689454,2.2394803211284416e-05,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 5}",0.6015796401930672,0.6057692307692304,0.7895796064400717,0.6506410256410257,0.7586996336996338,0.6809869345389031,0.0784520533689623,14,0.5627545248868779,0.6131860399662257,0.7645792288207148,0.677565124933546,0.6802232854864435,0.6596616408187617,0.06826710311691236
213,0.06152505874633789,0.016362220530313224,0.0007555961608886718,2.217287658357332e-05,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 6}",0.550021939447126,0.7799642218246869,0.49999999999999994,0.8356227106227107,0.5238095238095237,0.6375218086432476,0.14055041479246685,40,0.5439762443438915,0.739558119898677,0.4937236138474528,0.7567783094098884,0.5805422647527911,0.6229157104505402,0.10605865652196655
