,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
183,0.36270976066589355,0.12483438973179524,0.002448892593383789,0.0007605994160911822,0.01,"(100, 25, 100)",82,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 82}",0.911364633611233,0.8689624329159213,0.9246422182468697,0.9473443223443224,0.9331501831501833,0.9169829751131372,0.026738720186898123,11,0.9756787330316743,0.9746270757106671,0.9898817900365887,0.9569377990430623,0.9564061669324828,0.9707063129508949,0.01266382576412207
184,1.4282882690429688,0.898825145093348,0.004904747009277344,0.0028881724170072435,0.01,"(100, 25, 100)",217,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 217}",0.9041246160596753,0.8613595706618963,0.9054114490161003,0.9043040293040295,0.9189560439560441,0.8987883056911086,0.01954549924457768,69,0.9887726244343893,0.9839994370954124,0.9556853363354911,0.9917597022860182,0.9840510366826156,0.9808536273667853,0.012924514716756269
185,0.3101340293884277,0.08461485095132727,0.002461528778076172,0.0011983130548381819,0.01,"(100, 25, 100)",96,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 96}",0.7733655111891181,0.8725402504472269,0.8781305903398927,0.9665750915750918,0.8997252747252749,0.877614036669127,0.06223094333191689,182,0.9011029411764706,0.9485083028426683,0.9225865465803545,0.970494417862839,0.9468367889420523,0.937905799480877,0.023846691959858703
186,0.3899677753448486,0.0891181332926548,0.0029042243957519533,0.0011690357686714628,0.01,"(100, 25, 100)",230,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 230}",0.9578762615182098,0.8978085867620751,0.9807692307692308,0.9688644688644689,0.8951465201465204,0.9401646555659392,0.03631518067038792,1,0.9852941176470588,0.992822966507177,1.0,0.9851143009037746,0.9845826687931951,0.9895628107702411,0.006039475632376721
187,0.39238266944885253,0.24351108611450925,0.002040576934814453,0.0006373456079709234,0.01,"(100, 25, 100)",109,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 109}",0.8648530057042563,0.8785778175313058,0.9246422182468695,0.9354395604395604,0.9235347985347987,0.9052223242407701,0.028204818682830108,44,0.9596436651583711,0.9692935547424713,0.9703912186884323,0.9593301435406699,0.9917597022860182,0.9700836568831926,0.011791533202975138
188,0.2862288475036621,0.04624789780880726,0.001899385452270508,0.0004460694404787042,0.01,"(100, 25, 100)",244,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 244}",0.9368143922773147,0.7839892665474062,0.8512969588550986,0.9711538461538463,0.904761904761905,0.8894988473796219,0.0659205397769727,109,0.9869061085972852,0.965606529693217,0.9827047565437659,0.9922913343965974,0.9797979797979797,0.9814613418057689,0.008973540498993097
189,0.3161446571350098,0.0643239139874103,0.001725625991821289,0.00023322296980229175,0.01,"(100, 25, 100)",123,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 123}",0.911364633611233,0.8497316636851521,0.9575134168157424,0.9377289377289377,0.8782051282051283,0.9069136912912775,0.039041697059877076,35,0.9863687782805433,0.9882352941176471,0.9858429496200395,0.9704944178628389,0.9633173843700159,0.978851764850217,0.010045844936901145
190,0.0718233585357666,0.004993277473647511,0.0009087085723876953,6.745831978345062e-05,0.001,"(50, 50)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.7711715664765247,0.8472719141323791,0.7855545617173524,0.8663003663003666,0.7829670329670333,0.8105108040476929,0.038429130011679455,312,0.7984728506787332,0.8131719673515337,0.8280748663101604,0.7886762360446572,0.7916002126528444,0.8039992266075858,0.014716290412956244
191,0.22432341575622558,0.04035594773105009,0.0020216941833496095,0.0005621381181486543,0.001,"(50, 50)",136,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 136}",0.8714348398420358,0.8613595706618963,0.9362701252236136,0.9162087912087914,0.8997252747252749,0.8968995104045593,0.027760924556360266,76,0.9649886877828056,0.9816070925978048,0.9703912186884324,0.9853801169590644,0.9569377990430622,0.9718609830142337,0.010486598146129053
192,0.1334869384765625,0.0623477796191022,0.00150909423828125,0.00043734917197965753,0.001,"(50, 50)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",0.8881088196577446,0.8072450805008945,0.8336314847942755,0.9235347985347986,0.8901098901098902,0.86840574076537,0.04203356722739038,208,0.9262443438914028,0.8352096819589079,0.8462707571066704,0.9032429558745348,0.8615098351940458,0.8744955148051122,0.03467851832001753
193,0.15505146980285645,0.04137071965923332,0.0018179893493652343,0.0003702990207753225,0.001,"(50, 50)",149,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 149}",0.7988152698551997,0.8613595706618963,0.8841681574239717,0.9065934065934067,0.8447802197802198,0.8589462467370832,0.03675568770659235,236,0.9382635746606335,0.9231353785533353,0.9775682521812554,0.980595427963849,0.9393939393939396,0.9517913145506025,0.023030348622298
194,0.0825392723083496,0.00753808826438623,0.001168537139892578,0.00014576549263468043,0.001,"(50, 50)",28,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 28}",0.8321632294866169,0.8957960644007156,0.8588998211091237,0.9139194139194139,0.8278388278388279,0.865630915357436,0.034116899823606966,217,0.8471153846153848,0.88654658035463,0.8228961441035746,0.916267942583732,0.8110047846889952,0.8567661672692634,0.03939988446643709
