,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__hidden_layer_sizes,param_NN__learning_rate,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
19,7.279087162017822,2.2869017024175036,0.015572071075439453,0.005240784302741689,200,adaptive,2,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 2}",0.29843267625731634,0.3082957578000594,0.3190631589074231,0.26984765493781276,0.32404542235823325,0.30392970591742985,0.019186874824577007,95,0.3105354263279091,0.31199967044659865,0.320560877964922,0.2685216831250077,0.3317774509283158,0.30867902175855066,0.02145600488806411
20,8.586108875274657,1.4614185967360669,0.020932579040527345,0.009629419843955862,200,adaptive,3,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 3}",0.34770580357004766,0.32370098428420585,0.3595415300680504,0.32888301478814597,0.3563014156089737,0.3432223166659505,0.01444681823904671,89,0.35650121695319076,0.3218520777237294,0.3748830315283332,0.33750626144028734,0.3657160537412526,0.35129172827735866,0.01922748890035929
21,6.054503965377807,0.6702549443410225,0.01122279167175293,0.00039598428975060404,200,adaptive,4,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 4}",0.3971231679869017,0.33379566396230975,0.46745997341127005,0.38910141034396223,0.44026925013929974,0.4055050220835756,0.04588824939640486,84,0.41632859594906946,0.37559563670018525,0.47168976117240086,0.39112935727280795,0.4379809709332494,0.4185448644055426,0.0340684614475594
22,5.829290246963501,0.3662539366126084,0.017170047760009764,0.0035465623127115373,200,adaptive,5,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 5}",0.4346991111701651,0.3540861512993138,0.44909901524921125,0.3881084247656015,0.45569534549735435,0.41632303479543725,0.0390623636508364,80,0.4537127618348633,0.3811049788018494,0.47185050209910245,0.397216340563968,0.4468924593154105,0.43015540852303874,0.034826672096101546
23,6.871691513061523,1.6869127196105904,0.019348526000976564,0.004484315312892911,200,adaptive,6,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 6}",0.46812040978171077,0.4587098200284058,0.44595081087217775,0.46106033712019046,0.4482648729817024,0.4564384198920966,0.008248300848060906,75,0.49853481570684466,0.45695514958598915,0.4730426652941357,0.4488838573140867,0.4732801416590165,0.4701393259120145,0.01703065115916545
24,7.0741047859191895,1.1423080339620917,0.016904830932617188,0.0049685462664890954,200,adaptive,7,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 7}",0.4711155821877428,0.4719747228460128,0.5126339215678443,0.5562915791136269,0.47744197292507407,0.4978518009492555,0.032955693599403264,69,0.48464337699240473,0.4792307143468264,0.5624463910401197,0.5513984201617691,0.48581656231907844,0.5127070929720396,0.03633829190055611
25,6.363675260543824,0.9221279051851449,0.015155220031738281,0.002842356467865065,200,adaptive,8,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 8}",0.4539717938891937,0.5462763407987776,0.5410242491629228,0.5702363562993806,0.4839461244100053,0.5190378868100164,0.0431824646504284,64,0.46438169017710973,0.5408894166581191,0.5614815875925652,0.554130778809257,0.4881703119677001,0.5218107570409503,0.03850228856087487
26,5.732392692565918,0.5410264584187079,0.013718986511230468,0.002539087252463276,200,adaptive,9,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 9}",0.4581563812226802,0.5483046875085377,0.5740563474312457,0.6338462737690395,0.4881647661145313,0.5404278820217835,0.06233070651789216,58,0.46963805795593705,0.5421155479058215,0.5984626166927184,0.6446801720875985,0.506758931120071,0.5523310651524292,0.06273083329801345
27,8.307367610931397,1.7302519227988808,0.014872932434082031,0.002953460997885703,200,adaptive,10,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 10}",0.47796725002616514,0.5571807504352326,0.5743638590471243,0.6349003281330284,0.47879225155069827,0.5445923260707144,0.059928943876643215,56,0.5125710070946295,0.554768307530954,0.6097296843114357,0.6492406405630983,0.4789639554245075,0.561054718984925,0.06208879409956504
28,7.066979694366455,1.5451114764621285,0.013564634323120116,0.0006320471837356073,200,adaptive,15,"{'NN__hidden_layer_sizes': 200, 'NN__learning_rate': 'adaptive', 'filter__n': 15}",0.6184744717068767,0.6329038896840944,0.6130120622469,0.6523083463703259,0.6205776805050486,0.6274427082319262,0.01402078790043942,49,0.6699985148488004,0.6325132348158033,0.6571916329108677,0.6593026224468512,0.6389442087292282,0.6515900427503102,0.01380996207063626
