,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
18,0.21136393547058105,0.04251562514523575,0.006911373138427735,0.0013180258175660747,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 60}",0.8742869679684072,0.7081842576028621,0.8745527728085869,0.832875457875458,0.8516483516483517,0.8283476896820525,0.062136824913199225,318,0.9270361990950228,0.8401913875598086,0.9503518153672952,0.8176501860712387,0.9207868155236576,0.8912032807234045,0.05228767292176801
19,0.1269533157348633,0.019713521151803935,0.006828975677490234,0.0016402788864061787,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0.16826467514038085,0.04241412496662278,0.006921005249023437,0.0017580950289225134,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 3}",0.8620008775778851,0.794051878354204,0.9018336314847945,0.8608058608058609,0.43269230769230765,0.7709916361202735,0.1717878535924562,361,0.8634898190045249,0.8804249929636925,0.8535603715170278,0.8639021796916535,0.38995215311004783,0.7702659032573893,0.19035230115258114
21,0.12327818870544434,0.0048082817515464815,0.005597448348999024,0.0003260717155983501,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 4}",0.9135585783238263,0.9575134168157424,0.9883720930232559,1.0,0.9642857142857144,0.9645645656047453,0.02999170215638851,49,0.9738122171945701,0.9567830002814522,0.9549394877568251,0.9976076555023923,0.9649122807017544,0.9696109282873989,0.015513553793597822
22,0.14564318656921388,0.044662668610132655,0.0064946174621582035,0.0019204185943938101,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",0.9528301886792452,0.7980769230769231,0.9230769230769232,0.8461538461538463,0.9711538461538463,0.8983296130268904,0.0658048493817467,162,0.9134615384615384,0.9090909090909092,0.9425837320574163,0.8899521531100478,0.9569377990430623,0.9224052263525948,0.02412522841021615
23,0.14437317848205566,0.02763442132910978,0.006378984451293946,0.0020279197526518467,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 6}",0.932426502852128,0.9615384615384615,0.9534883720930232,0.9308608058608059,0.9880952380952382,0.9532117333347331,0.021018992067404582,62,0.9532239819004525,0.9679988741908246,0.9452153110047846,0.9444444444444443,0.968367889420521,0.9558501001922053,0.01052969114659739
24,0.20987248420715332,0.13752602963813718,0.009773683547973634,0.005560491113920978,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 7}",0.8032031592803861,0.8497316636851521,0.959525939177102,0.8873626373626373,0.9761904761904763,0.8948543633688267,0.0653502096699563,170,0.9099547511312218,0.8822685054883198,0.9192513368983957,0.9098883572567784,0.9659755449229134,0.9174676991395257,0.027236249782398185
25,0.19652824401855468,0.10629800858460571,0.005476522445678711,0.00023644341565622876,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 8}",0.8242650285212813,0.7728085867620752,0.9210644007155637,0.9281135531135531,0.8946886446886448,0.867913044603007,0.0602140058480376,237,0.9139705882352943,0.832029271038559,0.8942302279763579,0.9045720361509835,0.8646996278575227,0.8819003502517436,0.029924975466356186
26,0.1599135398864746,0.02799970512400152,0.00700531005859375,0.002419492108180739,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 9}",0.901930671347082,0.8805903398926654,0.8477191413237927,0.7692307692307694,0.8054029304029304,0.8413297741148759,0.04845359596642796,286,0.9380090497737558,0.929369546861807,0.8644244300591049,0.7461456671982987,0.858320042530569,0.867253747284707,0.0687308788918523
27,0.139707612991333,0.03784831185994847,0.006671524047851563,0.0017722213280271949,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 10}",0.8808688021061869,0.8902057245080501,0.7895796064400717,0.8946886446886448,0.84981684981685,0.8610264302231688,0.03902697919364025,245,0.9201074660633484,0.9107796228539262,0.8672108077680831,0.8617756512493355,0.859383306751728,0.8838513709372842,0.026086652113270117
28,0.18858599662780762,0.03509225620005889,0.007549571990966797,0.0018138006411649332,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 15}",0.8176831943835016,0.8609123434704831,0.8998211091234348,0.9450549450549451,0.9281135531135531,0.8899685727533274,0.04623051314656494,186,0.8730486425339367,0.9071348156487474,0.8841120180129467,0.9351408825093035,0.9133439659755448,0.9025560649360959,0.02195442983512688
29,0.2095395565032959,0.07400134308726877,0.0066492557525634766,0.0012235487054636767,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 20}",0.7733655111891181,0.9033989266547406,0.7491055456171737,0.9020146520146523,0.8635531135531137,0.8379628352391502,0.06503256958289834,294,0.764027149321267,0.9023501266535322,0.752068674359696,0.8841041998936735,0.8819776714513557,0.8369055643359049,0.06488568108784665
30,0.17529840469360353,0.03719801103292884,0.006281757354736328,0.0011341322420388353,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 25}",0.8503729706011409,0.8305008944543828,0.8745527728085869,0.9207875457875458,0.8827838827838829,0.8716278857666792,0.0305965527755186,229,0.9166289592760182,0.9323107233323952,0.9059949338587109,0.9117490696438065,0.8851674641148327,0.9103702300451527,0.015341321736859755
31,0.21372618675231933,0.040478573200972055,0.007528066635131836,0.0024339723237610947,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 30}",0.88306274681878,0.8765652951699463,0.9013864042933811,0.9377289377289377,0.9116300366300368,0.9019391956400056,0.021769456819770456,145,0.9553733031674209,0.9047424711511398,0.9146636645088656,0.9486975013290803,0.9019138755980861,0.9250781631509186,0.02251335165407116
32,0.17724952697753907,0.035771185541889225,0.006161212921142578,0.0004420026084634069,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 35}",0.8764809126810004,0.8316189624329159,0.882155635062612,0.8090659340659342,0.8997252747252749,0.8598673586620776,0.03379712333844951,246,0.9406674208144797,0.8690965381367857,0.9007036307345905,0.8362573099415205,0.9258373205741627,0.8945124440403077,0.03791962416832068
33,0.19351797103881835,0.042354815476049516,0.006641244888305664,0.002109437497803815,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 40}",0.7544975866608161,0.8280411449016098,0.8472719141323795,0.8923992673992674,0.9331501831501834,0.8506079267496112,0.06060217267031319,270,0.7848416289592761,0.9209400506614129,0.8847030678300029,0.8960659223817119,0.9481658692185008,0.886943307810181,0.055528324566568886
34,0.21645674705505372,0.06251102978132789,0.0071160316467285155,0.0016656675015932906,0.1,"(50,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 45}",0.8111013602457217,0.8492844364937386,0.853309481216458,0.9020146520146521,0.8113553113553116,0.8452930998372037,0.03345586243488093,283,0.8826640271493212,0.8881930762735716,0.9196453701097663,0.8591174906964381,0.8654970760233919,0.8830234080504977,0.021197584428905035
35,0.17081241607666015,0.024027021197638016,0.005456399917602539,0.00015721577817830128,0.1,"(50,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 50}",0.853225098727512,0.7739266547406082,0.8568872987477641,0.8232600732600733,0.8782051282051283,0.8370773502045684,0.0361116662411246,298,0.890950226244344,0.8339572192513367,0.8652124964818463,0.8615098351940457,0.9029771398192451,0.8709213833981636,0.02415054502896361
36,0.165956449508667,0.04449165562420583,0.0058974742889404295,0.0004928035647829679,0.1,"(50,)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 55}",0.8343571741992103,0.754695885509839,0.7835420393559929,0.8997252747252747,0.8205128205128208,0.818424625607087,0.04920301262647071,336,0.8319004524886878,0.873290177314945,0.898663101604278,0.8724082934609252,0.8418394471026052,0.8636202943942882,0.023997031398532744
37,0.2211595058441162,0.08301807344176643,0.007995271682739257,0.0030887634566893448,0.1,"(50,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 60}",0.8648530057042562,0.7511180679785332,0.8452593917710197,0.9235347985347986,0.8782051282051283,0.852416245437488,0.05686044151496908,261,0.9056561085972852,0.9018012946805516,0.908429496200394,0.9167995746943115,0.8833067517278043,0.9031986451800693,0.011099785818023143
38,0.12747044563293458,0.009733111447751786,0.007020092010498047,0.0013480738145127227,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 2}",0.4186046511627907,0.4767441860465113,0.4883720930232555,0.47619047619047633,0.49999999999999994,0.471801683091056,0.028188357952248822,377,0.47647058823529415,0.461764705882353,0.4588235294117647,0.4619883040935673,0.5000000000000001,0.4718094255245958,0.015378031368003055
