,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
30,0.06021418571472168,0.0022873740337957475,0.0013430118560791016,3.126757633189386e-05,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.5000000000000001,0.5,0.5,0.4999999999999999,0.5,0.5,7.037559074277106e-17,281,0.5,0.5,0.5,0.5,0.5,0.5,0.0
31,0.14284853935241698,0.05737521874816309,0.0032742500305175783,0.0022292388078225837,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 3}",0.5000000000000001,0.5,0.5527777777777777,0.6388888888888887,0.7097701149425286,0.5794110497621279,0.08207826025384997,210,0.5,0.5,0.4583860941636928,0.756590307355819,0.7219748858447489,0.5873902574728522,0.12542556950465808
32,0.10707249641418456,0.022589130323574562,0.0013545036315917968,5.067870542233286e-05,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 4}",0.5000000000000001,0.5,0.4999999999999999,0.4999999999999998,0.5,0.5,1.2158821599140715e-16,281,0.5,0.5,0.5,0.5,0.5,0.5,0.0
33,0.1057502269744873,0.01323969015316005,0.0013266563415527343,1.6131338338704616e-05,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.5063063063063065,0.6554054054054053,0.6305555555555555,0.4999999999999999,0.48227969348659006,0.5552855934380051,0.07280389355742047,245,0.5240220226021445,0.5790495508548247,0.6773339472775411,0.49502129618970875,0.4817922374429223,0.5514438108734282,0.07127018961717646
34,0.11592950820922851,0.031338411177311766,0.00132293701171875,7.211758074206657e-06,0.1,"(25,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 6}",0.7689189189189192,0.5,0.4999999999999999,0.4999999999999998,0.5,0.5544337388748264,0.10805197954244199,249,0.7133004926108374,0.5,0.5,0.5,0.5,0.5426600985221675,0.08532019704433495
35,0.1133072853088379,0.009075342683102956,0.0012934207916259766,5.785923293350283e-05,0.1,"(25,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}",0.6157657657657659,0.4324324324324325,0.6694444444444444,0.7138888888888888,0.5,0.5861911760703302,0.10514232422855029,199,0.577977397855694,0.4256447406548826,0.7989236790606654,0.6856221940831125,0.48675799086758,0.594985200504387,0.1345247584941801
36,0.1569089412689209,0.05111327493136028,0.002203035354614258,0.0017617702387336027,0.1,"(25,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 8}",0.5094594594594596,0.5094594594594594,0.4583333333333333,0.4999999999999999,0.5,0.49552135216787785,0.019035230856217545,289,0.5113010721529991,0.4010721529991307,0.6197766777944054,0.49081961551743986,0.4909246575342466,0.5027788351996444,0.06984113023467466
37,0.20791001319885255,0.053108085598094955,0.001373434066772461,9.756204785259816e-05,0.1,"(25,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 9}",0.5000000000000001,0.5,0.5,0.5805555555555554,0.5,0.5160624370594159,0.032185659176249444,273,0.5,0.5,0.5,0.5959767468631287,0.5,0.5191953493726258,0.03839069874525149
38,0.17588772773742675,0.016412318309723655,0.0014739036560058594,0.0002579052136082151,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.5297297297297298,0.7013513513513513,0.5333333333333332,0.8305555555555553,0.7198275862068965,0.6625011849019556,0.11609176182349468,119,0.615444798609099,0.7559547957113879,0.5233394727754115,0.8090249798549557,0.7034817351598175,0.6814491564221343,0.10165368940621189
39,0.28864498138427735,0.06330635892837241,0.005423641204833985,0.008116864045564588,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.47612612612612626,0.7531531531531531,0.6472222222222221,0.786111111111111,0.5,0.6328148390081925,0.1268543100781537,142,0.5090408577223993,0.7176180817154449,0.6710026476343962,0.7677851962702888,0.5,0.6330893566685059,0.10938583011082698
