,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
189,0.2811323642730713,0.15159188157953726,0.002092790603637695,0.000688482605237812,0.01,"(100, 25, 100)",60,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 60}",0.8554190434401052,0.8108228980322003,0.6621198568872985,0.7847985347985349,0.7683150183150185,0.7764608942621867,0.06439367012491626,30,0.9858314479638011,0.8810160427807486,0.7881086405854207,0.8197767145135567,0.9024455077086656,0.8754356707104385,0.06880672798189157
190,0.06554961204528809,0.005089066634506754,0.001591062545776367,0.00014668208553359407,0.001,"(50, 50)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.7378236068451075,0.7278622540250447,0.7350178890876566,0.7490842490842491,0.6057692307692307,0.7113099302933841,0.052932754386818805,197,0.7562782805429865,0.750070363073459,0.7107374050098508,0.7107921318447634,0.6581605528973951,0.717207746673691,0.035145567860558155
191,0.12507057189941406,0.03532115427651774,0.0028272151947021486,0.002576771752472725,0.001,"(50, 50)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.7240017551557699,0.7470930232558138,0.7602862254025046,0.7944139194139194,0.7445054945054949,0.753931692037804,0.02327039409932614,74,0.7615950226244346,0.7574444131719673,0.7583450605122432,0.7527910685805422,0.7591706539074962,0.7578692437593367,0.0028903232442817773
192,0.0876765251159668,0.008199569894683926,0.0013855457305908202,0.00021789614351097042,0.001,"(50, 50)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.6985519964896886,0.8148479427549193,0.6677101967799639,0.7390109890109892,0.646062271062271,0.7132930408559293,0.05962390291610544,191,0.7225961538461539,0.7154798761609907,0.7574021953278919,0.7445507708665605,0.730728335991494,0.7341514664386182,0.01511696584060909
193,0.12805814743041993,0.041393803639249216,0.0018053531646728515,0.0005328672076205092,0.001,"(50, 50)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.801009214567793,0.7186940966010732,0.779964221824687,0.7870879120879121,0.7156593406593407,0.7606068915763653,0.03602070476752436,49,0.8126979638009049,0.8296791443850268,0.7862651280607935,0.8253588516746411,0.6706539074960128,0.7849309990834759,0.05910811393454908
194,0.11718902587890626,0.06425205169229756,0.0016739368438720703,9.771613896077152e-05,0.001,"(50, 50)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.7073277753400614,0.5927996422182465,0.7390429338103758,0.7706043956043958,0.6625457875457874,0.6943979501508064,0.06208877882907774,224,0.7301187782805431,0.7261469180973824,0.7611314382212214,0.73471557682084,0.7099946836788943,0.7324214790197763,0.01659613410884953
195,0.11266875267028809,0.034350367422647875,0.0013860702514648438,0.00016764672246398214,0.001,"(50, 50)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.6375603334795964,0.7097495527728085,0.6343917710196778,0.7298534798534799,0.5009157509157509,0.6425981549929011,0.08008215493433253,278,0.7570701357466063,0.7322685054883198,0.6486208837602027,0.6871345029239766,0.5983519404572037,0.6846891936752618,0.057033000093681216
196,0.14056453704833985,0.053716875672375444,0.0016318798065185548,0.00014471725731353194,0.001,"(50, 50)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.7218078104431768,0.7238372093023256,0.7177996422182469,0.7440476190476192,0.7536630036630038,0.7321389224299534,0.014022783361720035,131,0.7963518099547513,0.7886996904024767,0.7434421615536165,0.7554492291334397,0.7594364699627859,0.7686758722014141,0.02031729125403943
197,0.0706566333770752,0.018151680922402564,0.0014068126678466798,0.00021419165286389697,0.001,"(50, 50)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.7174199210179903,0.7146690518783542,0.731887298747764,0.7293956043956045,0.793956043956044,0.7373211406587833,0.028939900587282148,118,0.7969174208144798,0.7511258091753447,0.7481846327047564,0.7426900584795322,0.7222222222222223,0.752228028679267,0.02451949022685826
198,0.1472301959991455,0.04890480732647333,0.001596355438232422,0.0003166699441705773,0.001,"(50, 50)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.663668275559456,0.6520572450805007,0.7025939177101967,0.7202380952380953,0.7060439560439561,0.6887648264542972,0.026298297108132536,229,0.7803167420814481,0.7269349845201238,0.798072051787222,0.7410951621477937,0.7078681552365763,0.7508574191546328,0.03350443133337136
199,0.15566320419311525,0.06721577647790085,0.0014565944671630859,0.0004409641334309956,0.001,"(50, 50)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.7755594559017113,0.6949910554561716,0.7177996422182469,0.7532051282051284,0.6794871794871794,0.7243500020436939,0.035731351492742244,151,0.8062500000000001,0.818111455108359,0.825288488601182,0.7344497607655502,0.7947900053163213,0.7957779419582826,0.0323772883349845
